multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
3,1,baseline,19,1000019,770123.7668,769612.7303
3,1,baseline,20,1000020,770594.2094,769612.7303
3,1,baseline,21,1000021,769989.2714,769612.7303
3,1,baseline,22,1000022,771025.3383,769612.7303
3,1,baseline,23,1000023,767732.1992,769612.7303
3,1,baseline,24,1000024,768412.2545,769612.7303
3,1,baseline,25,1000025,767752.3726,769612.7303
3,1,baseline,26,1000026,768435.6141,769612.7303
3,1,baseline,27,1000027,770195.9043,769612.7303
3,1,baseline,28,1000028,771020.0913,769612.7303
3,1,baseline,29,1000029,768244.7427,769612.7303
3,1,optimized,0,1000000,786670.6901,785730.2880
3,1,optimized,1,1000001,786558.8053,785730.2880
3,1,optimized,2,1000002,785651.9793,785730.2880
3,1,optimized,3,1000003,783376.1661,785730.2880
3,1,optimized,4,1000004,785005.0023,785730.2880
3,1,optimized,5,1000005,784353.3346,785730.2880
3,1,optimized,6,1000006,785625.7424,785730.2880
3,1,optimized,7,1000007,785561.8065,785730.2880
3,1,optimized,8,1000008,787534.1733,785730.2880
3,1,optimized,9,1000009,787285.3056,785730.2880
3,1,optimized,10,1000010,786501.4934,785730.2880
3,1,optimized,11,1000011,786642.5694,785730.2880
3,1,optimized,12,1000012,783080.7992,785730.2880
3,1,optimized,13,1000013,787618.9583,785730.2880
3,1,optimized,14,1000014,784825.5753,785730.2880
3,1,optimized,15,1000015,783564.1421,785730.2880
3,1,optimized,16,1000016,785198.9970,785730.2880
3,1,optimized,17,1000017,787775.8369,785730.2880
3,1,optimized,18,1000018,786845.6552,785730.2880
3,1,optimized,19,1000019,786247.7022,785730.2880
3,1,optimized,20,1000020,786729.1386,785730.2880
3,1,optimized,21,1000021,786111.2482,785730.2880
3,1,optimized,22,1000022,787214.2998,785730.2880
3,1,optimized,23,1000023,783824.0549,785730.2880
3,1,optimized,24,1000024,784521.3887,785730.2880
3,1,optimized,25,1000025,783853.2145,785730.2880
3,1,optimized,26,1000026,784572.9236,785730.2880
3,1,optimized,27,1000027,786321.1585,785730.2880
3,1,optimized,28,1000028,787155.6641,785730.2880
3,1,optimized,29,1000029,784354.5678,785730.2880
3,1,rs,0,1000000,781016.5830,780056.7831
3,1,rs,1,1000001,780868.4061,780056.7831
3,1,rs,2,1000002,779945.0679,780056.7831
3,1,rs,3,1000003,777696.4281,780056.7831
3,1,rs,4,1000004,779360.4529,780056.7831
3,1,rs,5,1000005,778644.0189,780056.7831
3,1,rs,6,1000006,779903.1684,780056.7831
3,1,rs,7,1000007,779897.6972,780056.7831
3,1,rs,8,1000008,781912.9364,780056.7831
3,1,rs,9,1000009,781632.8565,780056.7831
3,1,rs,10,1000010,780819.1273,780056.7831
3,1,rs,11,1000011,780963.5179,780056.7831
3,1,rs,12,1000012,777400.0471,780056.7831
3,1,rs,13,1000013,781909.6324,780056.7831
3,1,rs,14,1000014,779158.0596,780056.7831
3,1,rs,15,1000015,777870.2689,780056.7831
3,1,rs,16,1000016,779494.9096,780056.7831
3,1,rs,17,1000017,782114.0060,780056.7831
3,1,rs,18,1000018,781158.8892,780056.7831
3,1,rs,19,1000019,780570.0063,780056.7831
3,1,rs,20,1000020,781076.4112,780056.7831
3,1,rs,21,1000021,780480.3934,780056.7831
3,1,rs,22,1000022,781550.7512,780056.7831
3,1,rs,23,1000023,778148.5333,780056.7831
3,1,rs,24,1000024,778847.8011,780056.7831
3,1,rs,25,1000025,778225.4111,780056.7831
3,1,rs,26,1000026,778876.7306,780056.7831
3,1,rs,27,1000027,780679.5104,780056.7831
3,1,rs,28,1000028,781504.2060,780056.7831
3,1,rs,29,1000029,778675.6314,780056.7831
3,1,sa,0,1000000,785526.4856,784573.0404
3,1,sa,1,1000001,785398.2812,784573.0404
3,1,sa,2,1000002,784482.6600,784573.0404
3,1,sa,3,1000003,782209.6838,784573.0404
3,1,sa,4,1000004,783845.0498,784573.0404
3,1,sa,5,1000005,783199.7761,784573.0404
3,1,sa,6,1000006,784467.9747,784573.0404
3,1,sa,7,1000007,784421.1975,784573.0404
3,1,sa,8,1000008,786380.5453,784573.0404
3,1,sa,9,1000009,786133.3221,784573.0404
3,1,sa,10,1000010,785365.0632,784573.0404
3,1,sa,11,1000011,785481.2282,784573.0404
3,1,sa,12,1000012,781929.5165,784573.0404
3,1,sa,13,1000013,786470.9157,784573.0404
3,1,sa,14,1000014,783649.1412,784573.0404
3,1,sa,15,1000015,782404.9537,784573.0404
3,1,sa,16,1000016,784030.9576,784573.0404
3,1,sa,17,1000017,786643.2258,784573.0404
3,1,sa,18,1000018,785688.2005,784573.0404
3,1,sa,19,1000019,785086.5527,784573.0404
